truism_number,perturbation,premise,avg_binary_score,avg_ratio_score
0,original,original,1.0,0.009943207542309648
0,original,asymmetric_premise,0.3,-0.006548763999856537
0,original,asymmetric_conclusion,0.2,-0.006126836589255407
0,negation,original,0.7,0.0029061452074246553
0,negation,asymmetric_premise,0.3,-0.0022084900684374606
0,negation,asymmetric_conclusion,0.1,-0.006551050636262007
0,antonym,original,0.0,-0.022738594610133174
0,antonym,asymmetric_premise,0.9,0.013566070955544445
0,antonym,asymmetric_conclusion,1.0,0.012983695433389167
0,paraphrase,original,1.0,0.11563862919954604
0,paraphrase,asymmetric_premise,0.0,-0.10737645836294588
0,paraphrase,asymmetric_conclusion,0.0,-0.11124197400230067
0,paraphrase_inversion,original,0.0,-0.0568875310461328
0,paraphrase_inversion,asymmetric_premise,1.0,0.06040029600471627
0,paraphrase_inversion,asymmetric_conclusion,1.0,0.05765747203524071
0,negation_antonym,original,0.6,0.0014881789975273144
0,negation_antonym,asymmetric_premise,0.7,0.0013938915185763058
0,negation_antonym,asymmetric_conclusion,0.3,-0.005221547450993673
0,negation_paraphrase,original,0.0,-0.13012032074134386
0,negation_paraphrase,asymmetric_premise,1.0,0.10744613631705273
0,negation_paraphrase,asymmetric_conclusion,1.0,0.1098691244045844
0,negation_paraphrase_inversion,original,1.0,0.015358169877686895
0,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.021268234316754626
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.019153609432358783
1,original,original,1.0,0.06486896918527967
1,original,asymmetric_premise,0.0,-0.06899441285393614
1,original,asymmetric_conclusion,0.0,-0.0733965931643458
1,negation,original,0.0,-0.049947986476950965
1,negation,asymmetric_premise,1.0,0.04847382574007083
1,negation,asymmetric_conclusion,1.0,0.04921764212277875
1,antonym,original,0.0,-0.09528172005150377
1,antonym,asymmetric_premise,1.0,0.09501620933257757
1,antonym,asymmetric_conclusion,1.0,0.09666904693291486
1,paraphrase,original,1.0,0.05569533414795238
1,paraphrase,asymmetric_premise,0.0,-0.0583882970643466
1,paraphrase,asymmetric_conclusion,0.0,-0.05659673003038194
1,paraphrase_inversion,original,0.0,-0.0947205246164252
1,paraphrase_inversion,asymmetric_premise,1.0,0.09372561334707372
1,paraphrase_inversion,asymmetric_conclusion,1.0,0.0938670624444399
1,negation_antonym,original,1.0,0.07785216360527054
1,negation_antonym,asymmetric_premise,0.0,-0.07371990308598811
1,negation_antonym,asymmetric_conclusion,0.0,-0.08064847204920769
1,negation_paraphrase,original,0.0,-0.05755486120730524
1,negation_paraphrase,asymmetric_premise,1.0,0.05945979994813029
1,negation_paraphrase,asymmetric_conclusion,1.0,0.06069055222927727
1,negation_paraphrase_inversion,original,1.0,0.07908656224899427
1,negation_paraphrase_inversion,asymmetric_premise,0.0,-0.07666523602454531
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0,-0.0815130783436077
2,original,original,1.0,0.08603926733500908
2,original,asymmetric_premise,0.0,-0.08028214074908796
2,original,asymmetric_conclusion,0.0,-0.07981350254228933
2,negation,original,0.0,-0.05743682598785808
2,negation,asymmetric_premise,1.0,0.05693665193025441
2,negation,asymmetric_conclusion,1.0,0.053536853220787606
2,antonym,original,0.0,-0.072398727820691
2,antonym,asymmetric_premise,1.0,0.06262961529749408
2,antonym,asymmetric_conclusion,1.0,0.06532200145072661
2,paraphrase,original,1.0,0.05779033385038235
2,paraphrase,asymmetric_premise,0.0,-0.04959733111537958
2,paraphrase,asymmetric_conclusion,0.0,-0.051007679705405665
2,paraphrase_inversion,original,1.0,0.03752537348039102
2,paraphrase_inversion,asymmetric_premise,0.0,-0.04462376629419337
2,paraphrase_inversion,asymmetric_conclusion,0.0,-0.05048999993731259
2,negation_antonym,original,1.0,0.05874558779843529
2,negation_antonym,asymmetric_premise,0.0,-0.05379280157184746
2,negation_antonym,asymmetric_conclusion,0.0,-0.05637211644592875
2,negation_paraphrase,original,0.0,-0.04959574182278748
2,negation_paraphrase,asymmetric_premise,1.0,0.05705959784018305
2,negation_paraphrase,asymmetric_conclusion,1.0,0.05115101886246851
2,negation_paraphrase_inversion,original,0.0,-0.0617149651592071
2,negation_paraphrase_inversion,asymmetric_premise,1.0,0.062444402608713825
2,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.06281048535322634
3,original,original,0.1,-0.017980851904658313
3,original,asymmetric_premise,1.0,0.018311906923915985
3,original,asymmetric_conclusion,1.0,0.02110501972432421
3,negation,original,0.3,-0.005062725895538671
3,negation,asymmetric_premise,0.7,0.002819426332662256
3,negation,asymmetric_conclusion,0.5,0.000660745529012953
3,antonym,original,0.0,-0.01115025739019828
3,antonym,asymmetric_premise,0.9,0.008448129577396251
3,antonym,asymmetric_conclusion,0.5,0.0033409942323797777
3,paraphrase,original,0.0,-0.10481549711205769
3,paraphrase,asymmetric_premise,1.0,0.1017513954705764
3,paraphrase,asymmetric_conclusion,1.0,0.0936833493166172
3,paraphrase_inversion,original,1.0,0.02791445655506996
3,paraphrase_inversion,asymmetric_premise,0.0,-0.04190496500523203
3,paraphrase_inversion,asymmetric_conclusion,0.0,-0.0393043996184421
3,negation_antonym,original,1.0,0.012754706654983069
3,negation_antonym,asymmetric_premise,0.1,-0.012597972725409351
3,negation_antonym,asymmetric_conclusion,0.2,-0.008301486973566015
3,negation_paraphrase,original,1.0,0.08522772718646142
3,negation_paraphrase,asymmetric_premise,0.0,-0.08861196838434111
3,negation_paraphrase,asymmetric_conclusion,0.0,-0.0944942048669785
3,negation_paraphrase_inversion,original,0.0,-0.0654720195538893
3,negation_paraphrase_inversion,asymmetric_premise,1.0,0.07183678240493716
3,negation_paraphrase_inversion,asymmetric_conclusion,1.0,0.0681712786344575
4,original,original,0.0,-0.022518854022582364
4,original,asymmetric_premise,1.0,0.029357821246003106
4,original,asymmetric_conclusion,1.0,0.02581886239687419
4,negation,original,1.0,0.03536807290153497
4,negation,asymmetric_premise,0.0,-0.04234310273275841
4,negation,asymmetric_conclusion,0.0,-0.04639675110178373
4,antonym,original,1.0,0.025989721164826913
4,antonym,asymmetric_premise,0.0,-0.02807282312334399
